123456789,AB1,2023-11-26,2023-11-25 08:30:00,New York
987654321,XY1,2023-11-26,2023-11-25 10:45:00,Los Angeles
456789123,DE1,2023-11-27,2023-11-26 12:15:00,Chicago
789123456,GH1,2023-11-27,2023-11-26 14:30:00,Miami
654321987,JK1,2023-11-28,2023-11-27 16:45:00,San Francisco
321654987,MN1,2023-11-28,2023-11-27 18:00:00,Dallas
135792468,PQ1,2023-11-29,2023-11-28 20:15:00,Seattle
246813579,ST1,2023-11-29,2023-11-28 22:30:00,Denver
112233445,VW1,2023-11-30,2023-11-29 00:45:00,Boston
998877665,YZ1,2023-11-30,2023-11-29 03:00:00,Atlanta
